First name,Surname,ID number,Institution,Department,Email address,Quiz: 01 Introductory Exercise (Real),Quiz: 02 Units & Measurement (Real),Quiz: 03 MSDS for Benzoic Acid (Real),Quiz: 04a Moles & Molarity (Real),Quiz: 06 Concentrations (Real),Assignment 2.2 (Disabled): ChemCollective Exercise 2 Write-Up Submission (Real),Quiz: Exam 2 (Real),Quiz: 04b Chemcollective Moles (Real),Quiz: 05 Dilutions (Real),Quiz: Exam 1 (Real),Quiz: 07 Measurement (Real),Last downloaded from this course
aa,bb,X00149210,SC,SCIE,cc,90,95,85,-,-,,-,-,-,-,-,1508919450
aa,bb,X00144399,SC,SCIE,cc,80,75,95,-,-,,-,-,-,-,-,1508919450
aa,bb,X00147867,SC,SCIE,cc,100,95,100,90,-,,-,-,-,-,-,1508919450
aa,bb,X00147424,SC,SCIE,cc,100,100,100,40,-,,-,-,-,-,-,1508919450
aa,bb,X00147095,SC,SCIE,cc,80,55,75,-,-,,-,-,-,-,-,1508919450
aa,bb,X00148142,SC,SCIE,cc,50,80,100,60,-,,-,-,-,-,-,1508919450
aa,bb,X00147730,SC,SCIE,cc,100,55,70,-,-,,-,-,-,-,-,1508919450
aa,bb,X00145111,SC,SCIE,cc,100,20,85,60,-,,-,-,-,-,-,1508919450
aa,bb,X00144279,SC,SCIE,cc,80,5,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00145643,SC,SCIE,cc,90,45,90,-,-,,-,-,-,-,-,1508919450
aa,bb,X00138320,SC,SCIE,cc,100,70,100,100,-,,-,-,-,-,-,1508919450
aa,bb,X00146862,SC,SCIE,cc,100,20,70,10,-,,-,-,-,-,-,1508919450
aa,bb,X00148808,SC,SCIE,cc,100,75,75,-,-,,-,-,-,-,-,1508919450
aa,bb,X00149524,SC,SCIE,cc,-,-,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00145370,SC,SCIE,cc,100,100,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00121410,SC,SCIE,cc,100,100,90,70,-,,-,-,-,-,-,1508919450
aa,bb,X00145108,SC,SCIE,cc,100,70,70,-,-,,-,-,-,-,-,1508919450
aa,bb,X00136494,SC,SCIE,cc,100,95,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00146072,SC,SCIE,cc,80,50,50,-,-,,-,-,-,-,-,1508919450
aa,bb,X00121580,SC,SCIE,cc,70,55,0,-,-,,-,-,-,-,-,1508919450
aa,bb,X00144812,SC,SCIE,cc,100,75,100,70,-,,-,-,-,-,-,1508919450
aa,bb,X00146601,SC,SCIE,cc,100,-,-,-,-,,-,-,-,-,-,1508919450
aa,bb,X00139174,SC,SCIE,cc,100,80,100,-,-,,-,-,-,-,-,1508919450
aa,bb,X00148713,SC,SCIE,cc,100,95,100,70,-,,-,-,-,-,-,1508919451
aa,bb,X00147338,SC,SCIE,cc,80,45,-,40,-,,-,-,-,-,-,1508919451
aa,bb,X00146331,SC,SCIE,cc,100,45,90,50,-,,-,-,-,-,-,1508919451
aa,bb,X00148014,SC,SCIE,cc,100,85,90,70,-,,-,-,-,-,-,1508919451
aa,bb,X00144851,SC,SCIE,cc,100,80,100,100,-,,-,-,-,-,-,1508919451
aa,bb,X00149084,SC,SCIE,cc,100,45,70,-,-,,-,-,-,-,-,1508919451
aa,bb,X00146644,SC,SCIE,cc,90,95,100,90,-,,-,-,-,-,-,1508919451
aa,bb,X00148508,SC,SCIE,cc,100,45,85,-,-,,-,-,-,-,-,1508919451
aa,bb,X00144227,SC,SCIE,cc,70,50,65,-,-,,-,-,-,-,-,1508919451
aa,bb,X00146810,SC,SCIE,cc,-,-,-,70,-,,-,-,-,-,-,1508919451
aa,bb,X00144173,SC,SCIE,cc,80,80,75,70,-,,-,-,-,-,-,1508919451
aa,bb,X00145226,SC,SCIE,cc,90,65,80,0,-,,-,-,-,-,-,1508919451
aa,bb,X00146671,SC,SCIE,cc,50,50,60,40,-,,-,-,-,-,-,1508919451
aa,bb,X00146707,SC,SCIE,cc,100,80,95,60,-,,-,-,-,-,-,1508919451
aa,bb,X00146246,SC,SCIE,cc,70,70,80,-,-,,-,-,-,-,-,1508919451
aa,bb,X00145836,SC,SCIE,cc,90,60,75,30,-,,-,-,-,-,-,1508919451
aa,bb,X00145217,SC,SCIE,cc,90,50,100,70,-,,-,-,-,-,-,1508919451
aa,bb,X00146524,SC,SCIE,cc,100,80,90,70,-,,-,-,-,-,-,1508919451
aa,bb,X00148943,SC,SCIE,cc,100,60,-,-,-,,-,-,-,-,-,1508919451
aa,bb,X00136808,SC,SCIE,cc,100,40,70,50,-,,-,-,-,-,-,1508919451
aa,bb,X00149417,SC,SCIE,cc,90,50,100,20,-,,-,-,-,-,-,1508919451
aa,bb,X00147317,SC,SCIE,cc,100,75,75,-,-,,-,-,-,-,-,1508919451
aa,bb,X00144715,SC,SCIE,cc,100,95,90,70,-,,-,-,-,-,-,1508919451
aa,bb,X00146162,SC,SCIE,cc,70,55,-,-,-,,-,-,-,-,-,1508919451
aa,bb,X00145639,SC,SCIE,cc,100,45,100,90,-,,-,-,-,-,-,1508919451
aa,bb,X00146364,SC,SCIE,cc,90,40,95,-,-,,-,-,-,-,-,1508919451
aa,bb,X00146234,SC,SCIE,cc,100,95,100,40,-,,-,-,-,-,-,1508919451
aa,bb,X00146042,SC,SCIE,cc,100,100,100,70,-,,-,-,-,-,-,1508919451
aa,bb,X00148211,SC,SCIE,cc,90,85,85,-,-,,-,-,-,-,-,1508919451
aa,bb,X00147545,SC,SCIE,cc,100,50,70,-,-,,-,-,-,-,-,1508919451
aa,bb,X00148476,SC,SCIE,cc,100,50,90,50,-,,-,-,-,-,-,1508919451
aa,bb,X00148772,SC,SCIE,cc,80,60,65,-,-,,-,-,-,-,-,1508919451
aa,bb,X00147434,SC,SCIE,cc,100,100,100,90,-,,-,-,-,-,-,1508919451
aa,bb,X00148953,SC,SCIE,cc,100,-,100,-,-,,-,-,-,-,-,1508919451
aa,bb,X00146337,SC,SCIE,cc,100,80,80,70,-,,-,-,-,-,-,1508919451
aa,bb,X00146750,SC,SCIE,cc,100,50,45,70,-,,-,-,-,-,-,1508919451
aa,bb,X00073943,SC,SCIE,cc,100,45,95,70,-,,-,-,-,-,-,1508919451
aa,bb,X00148088,SC,SCIE,cc,80,30,60,30,-,,-,-,-,-,-,1508919451
aa,bb,X00149297,SC,SCIE,cc,-,-,-,-,-,,-,-,-,-,-,1508919451
aa,bb,X00149121,SC,SCIE,cc,100,100,100,100,-,,-,-,-,-,-,1508919451
aa,bb,X00141732,SC,SCIE,cc,100,80,80,60,-,,-,-,-,-,-,1508919451
aa,bb,X00145956,SC,SCIE,cc,100,35,80,40,-,,-,-,-,-,-,1508919451
aa,bb,X00136848,SC,SCIE,cc,-,55,65,0,-,,-,-,-,-,-,1508919451
aa,bb,X00146636,SC,SCIE,cc,90,55,100,50,-,,-,-,-,-,-,1508919451
aa,bb,X00147295,SC,SCIE,cc,100,60,75,40,-,,-,-,-,-,-,1508919451
aa,bb,X00147629,SC,SCIE,cc,100,45,0,-,-,,-,-,-,-,-,1508919451
aa,bb,X00144617,SC,SCIE,cc,100,45,100,40,-,,-,-,-,-,-,1508919451
aa,bb,X00144889,SC,SCIE,cc,100,55,85,60,-,,-,-,-,-,-,1508919451
aa,bb,X00145157,SC,SCIE,cc,100,50,70,30,-,,-,-,-,-,-,1508919451
aa,bb,X00147553,SC,SCIE,cc,100,45,75,40,-,,-,-,-,-,-,1508919451
aa,bb,X00147872,SC,SCIE,cc,90,70,95,-,-,,-,-,-,-,-,1508919451
aa,bb,X00148116,SC,SCIE,cc,100,80,75,70,-,,-,-,-,-,-,1508919451
aa,bb,X00128058,SC,SCIE,cc,100,75,60,60,-,,-,-,-,-,-,1508919451
aa,bb,X00148123,SC,SCIE,cc,100,100,90,-,-,,-,-,-,-,-,1508919451
aa,bb,X00144866,SC,SCIE,cc,50,45,75,-,-,,-,-,-,-,-,1508919451
